Id;EDT;Nombre;Comienzo;Fin;Duracion;Programado;Real;Nivel_de_esquema
43;1.1.1.2.1.1.3;ETAPA 3 (EJE 12 AL 30);18-06-21;30-06-21;7 días;100;100;7
44;1.1.1.2.1.1.3.1;Escarpe Horizonte 3 + Retiro Botadero;18-06-21;23-06-21;3 días;100;100;8
45;1.1.1.2.1.1.3.2;Rellenos material mejoramiento;24-06-21;29-06-21;3 días;100;100;8
46;1.1.1.2.1.1.3.3;Compactacion;25-06-21;30-06-21;3 días;100;100;8
47;1.1.1.2.1.1.4;ETAPA 4 (EJE 30 AL 35);24-06-21;05-07-21;7 días;100;100;7
48;1.1.1.2.1.1.4.1;Escarpe Horizonte 3 + Retiro Botadero;24-06-21;29-06-21;3 días;100;100;8
49;1.1.1.2.1.1.4.2;Rellenos material mejoramiento;30-06-21;02-07-21;3 días;100;100;8
50;1.1.1.2.1.1.4.3;Compactacion;01-07-21;05-07-21;3 días;100;100;8
51;1.1.1.2.1.1.5;ETAPA 5 (EJE 35 AL 44);30-06-21;08-07-21;7 días;100;100;7
52;1.1.1.2.1.1.5.1;Escarpe Horizonte 3 + Retiro Botadero;30-06-21;02-07-21;3 días;100;100;8
53;1.1.1.2.1.1.5.2;Rellenos material mejoramiento;05-07-21;07-07-21;3 días;100;100;8
54;1.1.1.2.1.1.5.3;Compactacion;06-07-21;08-07-21;3 días;100;100;8
55;1.1.1.2.1.2;FUNDACIONES;01-07-21;15-09-21;53 días;100;100;6
56;1.1.1.2.1.2.1;ETAPA 1 (SB -1);03-09-21;15-09-21;9 días;100;100;7
57;1.1.1.2.1.2.1.1;Trazado y niveles;03-09-21;06-09-21;2 días;100;100;8
58;1.1.1.2.1.2.1.2;Excavacion fundaciones;07-09-21;13-09-21;5 días;100;100;8
59;1.1.1.2.1.2.1.3;Emplantillados;08-09-21;08-09-21;1 día;100;100;8
60;1.1.1.2.1.2.1.4;Enfierradura Fundaciones;10-09-21;14-09-21;3 días;100;100;8
61;1.1.1.2.1.2.1.5;Hormigon de Fundaciones;15-09-21;15-09-21;1 día;100;100;8
62;1.1.1.2.1.2.2;ETAPA 2 (EJE 1 AL 12);01-07-21;26-07-21;17 días;100;100;7
63;1.1.1.2.1.2.2.1;Trazado y niveles;01-07-21;02-07-21;2 días;100;100;8
64;1.1.1.2.1.2.2.2;Excavacion fundaciones;05-07-21;09-07-21;5 días;100;100;8
65;1.1.1.2.1.2.2.3;Emplantillados;08-07-21;12-07-21;3 días;100;100;8
66;1.1.1.2.1.2.2.4;Enfierradura Fundaciones;09-07-21;23-07-21;10 días;100;100;8
67;1.1.1.2.1.2.2.5;Moldaje Fundaciones;22-07-21;23-07-21;2 días;100;100;8
68;1.1.1.2.1.2.2.6;Hormigon de Fundaciones;21-07-21;26-07-21;4 días;100;100;8
69;1.1.1.2.1.2.3;ETAPA 3 (EJE 12 AL 30);06-07-21;28-07-21;16 días;100;100;7
70;1.1.1.2.1.2.3.1;Trazado y niveles;06-07-21;07-07-21;2 días;100;100;8
71;1.1.1.2.1.2.3.2;Excavacion fundaciones;08-07-21;14-07-21;5 días;100;100;8
72;1.1.1.2.1.2.3.3;Emplantillados;13-07-21;15-07-21;3 días;100;100;8
73;1.1.1.2.1.2.3.4;Enfierradura Fundaciones;14-07-21;28-07-21;10 días;100;100;8
74;1.1.1.2.1.2.3.5;Moldaje Fundaciones;14-07-21;15-07-21;2 días;100;100;8
75;1.1.1.2.1.2.3.6;Hormigon de Fundaciones;13-07-21;19-07-21;4 días;100;100;8
76;1.1.1.2.1.2.4;ETAPA 4 (EJE 30 AL 35);09-07-21;03-08-21;17 días;100;100;7
77;1.1.1.2.1.2.4.1;Trazado y niveles;09-07-21;12-07-21;2 días;100;100;8
78;1.1.1.2.1.2.4.2;Excavacion fundaciones;13-07-21;20-07-21;5 días;100;100;8
79;1.1.1.2.1.2.4.3;Emplantillados;19-07-21;21-07-21;3 días;100;100;8
80;1.1.1.2.1.2.4.4;Enfierradura Fundaciones;20-07-21;02-08-21;10 días;100;100;8
81;1.1.1.2.1.2.4.5;Moldaje Fundaciones;30-07-21;02-08-21;2 días;100;100;8
82;1.1.1.2.1.2.4.6;Hormigon de Fundaciones;29-07-21;03-08-21;4 días;100;100;8
83;1.1.1.2.1.2.5;ETAPA 5 (EJE 35 AL 44);19-07-21;10-08-21;17 días;100;100;7
84;1.1.1.2.1.2.5.1;Trazado y niveles;19-07-21;20-07-21;2 días;100;100;8
85;1.1.1.2.1.2.5.2;Excavacion fundaciones;21-07-21;27-07-21;5 días;100;100;8
86;1.1.1.2.1.2.5.3;Emplantillados;26-07-21;28-07-21;3 días;100;100;8
87;1.1.1.2.1.2.5.4;Enfierradura Fundaciones;27-07-21;09-08-21;10 días;100;100;8
88;1.1.1.2.1.2.5.5;Moldaje Fundaciones;06-08-21;09-08-21;2 días;100;100;8
89;1.1.1.2.1.2.5.6;Hormigon de Fundaciones;05-08-21;10-08-21;4 días;100;100;8
90;1.1.1.2.1.3;EDIFICIO OBRA GRUESA;08-09-21;29-04-22;163 días;66,15;40,95;6
91;1.1.1.2.1.3.1;ESTANQUE;19-10-21;29-04-22;136 días;40;40;7
92;1.1.1.2.1.3.1.1;Enfierradura Muro;19-10-21;20-10-21;2 días;100;100;8
93;1.1.1.2.1.3.1.2;Moldaje Muro;20-10-21;20-10-21;1 día;100;100;8
94;1.1.1.2.1.3.1.3;Hormigon Muro;21-10-21;21-10-21;1 día;100;100;8
95;1.1.1.2.1.3.1.4;Descimbre Muro;22-10-21;22-10-21;1 día;100;100;8
96;1.1.1.2.1.3.1.5;Moldaje Losa;25-10-21;25-10-21;1 día;100;100;8
97;1.1.1.2.1.3.1.6;Enfierradura Losa;27-10-21;28-10-21;2 días;100;100;8
98;1.1.1.2.1.3.1.7;Hormigon Losa;29-10-21;29-10-21;1 día;100;100;8
99;1.1.1.2.1.3.1.8;Descimbre Losa;03-11-21;03-11-21;1 día;100;100;8
100;1.1.1.2.1.3.1.9;Impermebilizacion interior estanque;08-04-22;29-04-22;15 días;0;0;8
101;1.1.1.2.1.3.2;ETAPA 1 (SB -1);21-09-21;07-04-22;140 días;58,65;43,75;7
102;1.1.1.2.1.3.2.1;Enfierradura Muro;21-09-21;22-09-21;2 días;100;100;8
103;1.1.1.2.1.3.2.2;Moldaje Muro;22-09-21;22-09-21;1 día;100;100;8
104;1.1.1.2.1.3.2.3;Hormigon Muro;23-09-21;23-09-21;1 día;100;100;8
105;1.1.1.2.1.3.2.4;Descimbre Muro;24-09-21;24-09-21;1 día;100;100;8
106;1.1.1.2.1.3.2.5;Moldaje Losa;19-11-21;19-11-21;1 día;100;100;8
107;1.1.1.2.1.3.2.6;Enfierradura Losa;22-11-21;23-11-21;2 días;100;100;8
108;1.1.1.2.1.3.2.7;Hormigon Losa;24-11-21;24-11-21;1 día;100;100;8
109;1.1.1.2.1.3.2.8;Descimbre Losa;25-11-21;25-11-21;1 día;100;100;8
110;1.1.1.2.1.3.2.9;Obras Civiles Adicionales;26-11-21;24-12-21;20 días;100;100;8
111;1.1.1.2.1.3.2.10;Imperbeabilizacion Exterior y Rellenos perimetrales;27-12-21;13-01-22;14 días;100;100;8
112;1.1.1.2.1.3.2.11;Terminaciones Interiores;14-01-22;03-02-22;15 días;100;10;8
113;1.1.1.2.1.3.2.12;Instalaciones;04-02-22;17-03-22;30 días;6,67;0;8
114;1.1.1.2.1.3.2.13;Terminaciones finales y puesta en marcha;18-03-22;07-04-22;15 días;0;0;8
115;1.1.1.2.1.3.3;Piso 1 al 7;08-09-21;05-04-22;146 días;67,86;40,63;7
116;1.1.1.2.1.3.3.1;Piso 1;08-09-21;09-12-21;63 días;100;100;8
117;1.1.1.2.1.3.3.1.1;Muro Postura 1 2.35MT;08-09-21;04-11-21;39 días;100;100;9
118;1.1.1.2.1.3.3.1.1.1;Sector 1 (eje 1 al 6);08-09-21;13-09-21;4 días;100;100;10
119;1.1.1.2.1.3.3.1.1.1.1;Enfierradura;08-09-21;10-09-21;3 días;100;100;11
120;1.1.1.2.1.3.3.1.1.1.2;Moldaje;09-09-21;10-09-21;2 días;100;100;11
121;1.1.1.2.1.3.3.1.1.1.3;Hormigon;10-09-21;10-09-21;1 día;100;100;11
122;1.1.1.2.1.3.3.1.1.1.4;Descimbre;13-09-21;13-09-21;1 día;100;100;11
123;1.1.1.2.1.3.3.1.1.2;Sector 2 (eje 6 AL 12);15-09-21;21-09-21;4 días;100;100;10
124;1.1.1.2.1.3.3.1.1.2.1;Enfierradura;15-09-21;20-09-21;3 días;100;100;11
125;1.1.1.2.1.3.3.1.1.2.2;Moldaje;16-09-21;20-09-21;2 días;100;100;11
126;1.1.1.2.1.3.3.1.1.2.3;Hormigon;20-09-21;20-09-21;1 día;100;100;11
127;1.1.1.2.1.3.3.1.1.2.4;Descimbre;21-09-21;21-09-21;1 día;100;100;11
128;1.1.1.2.1.3.3.1.1.3;Sector 3 (eje 13 AL 17);23-09-21;28-09-21;4 días;100;100;10
129;1.1.1.2.1.3.3.1.1.3.1;Enfierradura;23-09-21;27-09-21;3 días;100;100;11
130;1.1.1.2.1.3.3.1.1.3.2;Moldaje;24-09-21;27-09-21;2 días;100;100;11
131;1.1.1.2.1.3.3.1.1.3.3;Hormigon;27-09-21;27-09-21;1 día;100;100;11
132;1.1.1.2.1.3.3.1.1.3.4;Descimbre;28-09-21;28-09-21;1 día;100;100;11
133;1.1.1.2.1.3.3.1.1.4;Sector 4 (eje 17 al 30 con eje A al D);30-09-21;05-10-21;4 días;100;100;10
134;1.1.1.2.1.3.3.1.1.4.1;Enfierradura Muro;30-09-21;04-10-21;3 días;100;100;11
135;1.1.1.2.1.3.3.1.1.4.2;Moldaje Muro;01-10-21;04-10-21;2 días;100;100;11
136;1.1.1.2.1.3.3.1.1.4.3;Hormigon Muro;04-10-21;04-10-21;1 día;100;100;11
137;1.1.1.2.1.3.3.1.1.4.4;Descimbre Muro;05-10-21;05-10-21;1 día;100;100;11
138;1.1.1.2.1.3.3.1.1.5;Sector 5 (eje 19 al 27 con eje D al P) ;07-10-21;13-10-21;4 días;100;100;10
139;1.1.1.2.1.3.3.1.1.5.1;Enfierradura Muro;07-10-21;12-10-21;3 días;100;100;11
140;1.1.1.2.1.3.3.1.1.5.2;Moldaje Muro;08-10-21;12-10-21;2 días;100;100;11
141;1.1.1.2.1.3.3.1.1.5.3;Hormigon Muro;12-10-21;12-10-21;1 día;100;100;11
142;1.1.1.2.1.3.3.1.1.5.4;Descimbre Muro;13-10-21;13-10-21;1 día;100;100;11
143;1.1.1.2.1.3.3.1.1.6;Sector 6 (eje 30 al 34);15-10-21;20-10-21;4 días;100;100;10
144;1.1.1.2.1.3.3.1.1.6.1;Enfierradura;15-10-21;19-10-21;3 días;100;100;11
145;1.1.1.2.1.3.3.1.1.6.2;Moldaje;18-10-21;19-10-21;2 días;100;100;11
146;1.1.1.2.1.3.3.1.1.6.3;Hormigon;19-10-21;19-10-21;1 día;100;100;11
147;1.1.1.2.1.3.3.1.1.6.4;Descimbre;20-10-21;20-10-21;1 día;100;100;11
148;1.1.1.2.1.3.3.1.1.7;Sector 7 (eje 34A al 40);22-10-21;27-10-21;4 días;100;100;10
149;1.1.1.2.1.3.3.1.1.7.1;Enfierradura;22-10-21;26-10-21;3 días;100;100;11
150;1.1.1.2.1.3.3.1.1.7.2;Moldaje;25-10-21;26-10-21;2 días;100;100;11
151;1.1.1.2.1.3.3.1.1.7.3;Hormigon;26-10-21;26-10-21;1 día;100;100;11
152;1.1.1.2.1.3.3.1.1.7.4;Descimbre;27-10-21;27-10-21;1 día;100;100;11
153;1.1.1.2.1.3.3.1.1.8;Sector 8 (eje 40 al 44);29-10-21;04-11-21;4 días;100;100;10
154;1.1.1.2.1.3.3.1.1.8.1;Enfierradura;29-10-21;03-11-21;3 días;100;100;11
155;1.1.1.2.1.3.3.1.1.8.2;Moldaje;02-11-21;03-11-21;2 días;100;100;11
156;1.1.1.2.1.3.3.1.1.8.3;Hormigon;03-11-21;03-11-21;1 día;100;100;11
157;1.1.1.2.1.3.3.1.1.8.4;Descimbre;04-11-21;04-11-21;1 día;100;100;11
158;1.1.1.2.1.3.3.1.2;Muro Postura 2 1.45MT;27-10-21;01-12-21;25 días;100;100;9
159;1.1.1.2.1.3.3.1.2.1;Sector 1 (eje 1 al 6);27-10-21;02-11-21;4 días;100;100;10
160;1.1.1.2.1.3.3.1.2.1.1;Enfierradura;27-10-21;29-10-21;3 días;100;100;11
161;1.1.1.2.1.3.3.1.2.1.2;Moldaje;28-10-21;29-10-21;2 días;100;100;11
162;1.1.1.2.1.3.3.1.2.1.3;Hormigon;29-10-21;29-10-21;1 día;100;100;11
163;1.1.1.2.1.3.3.1.2.1.4;Descimbre;02-11-21;02-11-21;1 día;100;100;11
164;1.1.1.2.1.3.3.1.2.2;Sector 2 (eje 6 AL 12);02-11-21;05-11-21;4 días;100;100;10
165;1.1.1.2.1.3.3.1.2.2.1;Enfierradura;02-11-21;04-11-21;3 días;100;100;11
166;1.1.1.2.1.3.3.1.2.2.2;Moldaje;03-11-21;04-11-21;2 días;100;100;11
167;1.1.1.2.1.3.3.1.2.2.3;Hormigon;04-11-21;04-11-21;1 día;100;100;11
168;1.1.1.2.1.3.3.1.2.2.4;Descimbre;05-11-21;05-11-21;1 día;100;100;11
169;1.1.1.2.1.3.3.1.2.3;Sector 3 (eje 13 AL 17);05-11-21;10-11-21;4 días;100;100;10
170;1.1.1.2.1.3.3.1.2.3.1;Enfierradura;05-11-21;09-11-21;3 días;100;100;11
171;1.1.1.2.1.3.3.1.2.3.2;Moldaje;08-11-21;09-11-21;2 días;100;100;11
172;1.1.1.2.1.3.3.1.2.3.3;Hormigon;09-11-21;09-11-21;1 día;100;100;11
173;1.1.1.2.1.3.3.1.2.3.4;Descimbre;10-11-21;10-11-21;1 día;100;100;11
174;1.1.1.2.1.3.3.1.2.4;Sector 4  (eje 17 al 30 con eje A al D);08-11-21;15-11-21;6 días;100;100;10
175;1.1.1.2.1.3.3.1.2.4.1;Enfierradura Muro;10-11-21;12-11-21;3 días;100;100;11
176;1.1.1.2.1.3.3.1.2.4.2;Moldaje Muro;11-11-21;12-11-21;2 días;100;100;11
177;1.1.1.2.1.3.3.1.2.4.3;Hormigon Muro;12-11-21;12-11-21;1 día;100;100;11
178;1.1.1.2.1.3.3.1.2.4.4;Descimbre Muro;15-11-21;15-11-21;1 día;100;100;11
179;1.1.1.2.1.3.3.1.2.4.5;Enfierradura Escala;08-11-21;10-11-21;3 días;100;100;11
180;1.1.1.2.1.3.3.1.2.4.6;Moldaje Escala;09-11-21;10-11-21;2 días;100;100;11
181;1.1.1.2.1.3.3.1.2.4.7;Hormigon Escala;10-11-21;10-11-21;1 día;100;100;11
182;1.1.1.2.1.3.3.1.2.4.8;Descimbre Escala;11-11-21;11-11-21;1 día;100;100;11
183;1.1.1.2.1.3.3.1.2.5;Sector 5  (eje 17 al 30 con eje D al P) ;15-11-21;22-11-21;6 días;100;100;10
184;1.1.1.2.1.3.3.1.2.5.1;Enfierradura Muro;15-11-21;17-11-21;3 días;100;100;11
185;1.1.1.2.1.3.3.1.2.5.2;Moldaje Muro;16-11-21;17-11-21;2 días;100;100;11
186;1.1.1.2.1.3.3.1.2.5.3;Hormigon Muro;17-11-21;17-11-21;1 día;100;100;11
187;1.1.1.2.1.3.3.1.2.5.4;Descimbre Muro;18-11-21;18-11-21;1 día;100;100;11
188;1.1.1.2.1.3.3.1.2.5.5;Enfierradura Escala;17-11-21;19-11-21;3 días;100;100;11
189;1.1.1.2.1.3.3.1.2.5.6;Moldaje Escala;18-11-21;19-11-21;2 días;100;100;11
190;1.1.1.2.1.3.3.1.2.5.7;Hormigon Escala;19-11-21;19-11-21;1 día;100;100;11
191;1.1.1.2.1.3.3.1.2.5.8;Descimbre Escala;22-11-21;22-11-21;1 día;100;100;11
192;1.1.1.2.1.3.3.1.2.6;Sector 6 (eje 30 al 34);18-11-21;23-11-21;4 días;100;100;10
193;1.1.1.2.1.3.3.1.2.6.1;Enfierradura;18-11-21;22-11-21;3 días;100;100;11
194;1.1.1.2.1.3.3.1.2.6.2;Moldaje;19-11-21;22-11-21;2 días;100;100;11
195;1.1.1.2.1.3.3.1.2.6.3;Hormigon;22-11-21;22-11-21;1 día;100;100;11
196;1.1.1.2.1.3.3.1.2.6.4;Descimbre;23-11-21;23-11-21;1 día;100;100;11
197;1.1.1.2.1.3.3.1.2.7;Sector 7 (eje 34A al 40);23-11-21;26-11-21;4 días;100;100;10
198;1.1.1.2.1.3.3.1.2.7.1;Enfierradura;23-11-21;25-11-21;3 días;100;100;11
199;1.1.1.2.1.3.3.1.2.7.2;Moldaje;24-11-21;25-11-21;2 días;100;100;11
200;1.1.1.2.1.3.3.1.2.7.3;Hormigon;25-11-21;25-11-21;1 día;100;100;11
201;1.1.1.2.1.3.3.1.2.7.4;Descimbre;26-11-21;26-11-21;1 día;100;100;11
202;1.1.1.2.1.3.3.1.2.8;Sector 8 (eje 40 al 44);26-11-21;01-12-21;4 días;100;100;10
203;1.1.1.2.1.3.3.1.2.8.1;Enfierradura;26-11-21;30-11-21;3 días;100;100;11
204;1.1.1.2.1.3.3.1.2.8.2;Moldaje;29-11-21;30-11-21;2 días;100;100;11
205;1.1.1.2.1.3.3.1.2.8.3;Hormigon;30-11-21;30-11-21;1 día;100;100;11
206;1.1.1.2.1.3.3.1.2.8.4;Descimbre;01-12-21;01-12-21;1 día;100;100;11
207;1.1.1.2.1.3.3.1.3;Losa Sector 1 (eje 1 al 11);03-11-21;09-11-21;5 días;100;100;9
208;1.1.1.2.1.3.3.1.3.1;Moldaje;03-11-21;05-11-21;3 días;100;100;10
209;1.1.1.2.1.3.3.1.3.2;Enfierradura;05-11-21;08-11-21;2 días;100;100;10
210;1.1.1.2.1.3.3.1.3.3;Hormigon;08-11-21;08-11-21;1 día;100;100;10
211;1.1.1.2.1.3.3.1.3.4;Descimbre;09-11-21;09-11-21;1 día;100;100;10
212;1.1.1.2.1.3.3.1.4;Losa Sector 2 (eje 11 al 21);08-11-21;12-11-21;5 días;100;100;9
213;1.1.1.2.1.3.3.1.4.1;Moldaje;08-11-21;10-11-21;3 días;100;100;10
214;1.1.1.2.1.3.3.1.4.2;Enfierradura;10-11-21;11-11-21;2 días;100;100;10
215;1.1.1.2.1.3.3.1.4.3;Hormigon;11-11-21;11-11-21;1 día;100;100;10
216;1.1.1.2.1.3.3.1.4.4;Descimbre;12-11-21;12-11-21;1 día;100;100;10
217;1.1.1.2.1.3.3.1.5;Losa Sector 3 (eje 22 al 31);11-11-21;17-11-21;5 días;100;100;9
218;1.1.1.2.1.3.3.1.5.1;Moldaje;11-11-21;15-11-21;3 días;100;100;10
219;1.1.1.2.1.3.3.1.5.2;Enfierradura;15-11-21;16-11-21;2 días;100;100;10
220;1.1.1.2.1.3.3.1.5.3;Hormigon;16-11-21;16-11-21;1 día;100;100;10
221;1.1.1.2.1.3.3.1.5.4;Descimbre;17-11-21;17-11-21;1 día;100;100;10
222;1.1.1.2.1.3.3.1.6;Losa Sector 4 (eje 31 al 37);16-11-21;22-11-21;5 días;100;100;9
223;1.1.1.2.1.3.3.1.6.1;Moldaje;16-11-21;18-11-21;3 días;100;100;10
224;1.1.1.2.1.3.3.1.6.2;Enfierradura;18-11-21;19-11-21;2 días;100;100;10
225;1.1.1.2.1.3.3.1.6.3;Hormigon;19-11-21;19-11-21;1 día;100;100;10
226;1.1.1.2.1.3.3.1.6.4;Descimbre;22-11-21;22-11-21;1 día;100;100;10
227;1.1.1.2.1.3.3.1.7;Losa Sector 5 (eje 37 al 44);02-12-21;09-12-21;5 días;100;100;9
228;1.1.1.2.1.3.3.1.7.1;Moldaje;02-12-21;06-12-21;3 días;100;100;10
229;1.1.1.2.1.3.3.1.7.2;Enfierradura;03-12-21;06-12-21;2 días;100;100;10
230;1.1.1.2.1.3.3.1.7.3;Hormigon;07-12-21;07-12-21;1 día;100;100;10
231;1.1.1.2.1.3.3.1.7.4;Descimbre;09-12-21;09-12-21;1 día;100;100;10
232;1.1.1.2.1.3.3.2;Piso 2;18-11-21;31-12-21;31 días;100;100;8
233;1.1.1.2.1.3.3.2.1;Muro;18-11-21;24-12-21;26 días;100;100;9
234;1.1.1.2.1.3.3.2.1.1;Sector 1;18-11-21;24-11-21;5 días;100;100;10
235;1.1.1.2.1.3.3.2.1.1.1;Enfierradura;18-11-21;22-11-21;3 días;100;100;11
236;1.1.1.2.1.3.3.2.1.1.2;Moldaje;22-11-21;23-11-21;2 días;100;100;11
237;1.1.1.2.1.3.3.2.1.1.3;Hormigon;23-11-21;23-11-21;1 día;100;100;11
238;1.1.1.2.1.3.3.2.1.1.4;Descimbre;24-11-21;24-11-21;1 día;100;100;11
239;1.1.1.2.1.3.3.2.1.2;Sector 2;23-11-21;29-11-21;5 días;100;100;10
240;1.1.1.2.1.3.3.2.1.2.1;Enfierradura;23-11-21;25-11-21;3 días;100;100;11
241;1.1.1.2.1.3.3.2.1.2.2;Moldaje;25-11-21;26-11-21;2 días;100;100;11
242;1.1.1.2.1.3.3.2.1.2.3;Hormigon;26-11-21;26-11-21;1 día;100;100;11
243;1.1.1.2.1.3.3.2.1.2.4;Descimbre;29-11-21;29-11-21;1 día;100;100;11
244;1.1.1.2.1.3.3.2.1.3;Sector 3;26-11-21;02-12-21;5 días;100;100;10
245;1.1.1.2.1.3.3.2.1.3.1;Enfierradura;26-11-21;30-11-21;3 días;100;100;11
246;1.1.1.2.1.3.3.2.1.3.2;Moldaje;30-11-21;01-12-21;2 días;100;100;11
247;1.1.1.2.1.3.3.2.1.3.3;Hormigon;01-12-21;01-12-21;1 día;100;100;11
248;1.1.1.2.1.3.3.2.1.3.4;Descimbre;02-12-21;02-12-21;1 día;100;100;11
249;1.1.1.2.1.3.3.2.1.4;Sector 4;01-12-21;07-12-21;5 días;100;100;10
250;1.1.1.2.1.3.3.2.1.4.1;Enfierradura Muro;01-12-21;03-12-21;3 días;100;100;11
251;1.1.1.2.1.3.3.2.1.4.2;Moldaje Muro;03-12-21;06-12-21;2 días;100;100;11
252;1.1.1.2.1.3.3.2.1.4.3;Hormigon Muro;06-12-21;06-12-21;1 día;100;100;11
253;1.1.1.2.1.3.3.2.1.4.4;Descimbre Muro;07-12-21;07-12-21;1 día;100;100;11
254;1.1.1.2.1.3.3.2.1.4.5;Enfierradura Escala;01-12-21;03-12-21;3 días;100;100;11
255;1.1.1.2.1.3.3.2.1.4.6;Moldaje Escala;03-12-21;06-12-21;2 días;100;100;11
256;1.1.1.2.1.3.3.2.1.4.7;Hormigon Escala;06-12-21;06-12-21;1 día;100;100;11
257;1.1.1.2.1.3.3.2.1.4.8;Descimbre Escala;07-12-21;07-12-21;1 día;100;100;11
258;1.1.1.2.1.3.3.2.1.5;Sector 5;06-12-21;13-12-21;5 días;100;100;10
259;1.1.1.2.1.3.3.2.1.5.1;Enfierradura Muro;06-12-21;09-12-21;3 días;100;100;11
260;1.1.1.2.1.3.3.2.1.5.2;Moldaje Muro;09-12-21;10-12-21;2 días;100;100;11
261;1.1.1.2.1.3.3.2.1.5.3;Hormigon Muro;10-12-21;10-12-21;1 día;100;100;11
262;1.1.1.2.1.3.3.2.1.5.4;Descimbre Muro;13-12-21;13-12-21;1 día;100;100;11
263;1.1.1.2.1.3.3.2.1.5.5;Enfierradura Escala;06-12-21;09-12-21;3 días;100;100;11
264;1.1.1.2.1.3.3.2.1.5.6;Moldaje Escala;09-12-21;10-12-21;2 días;100;100;11
